N6705C exported datalog

"Sample interval: 0.999997"
"Trigger sample: 14"
"Date: Sun Jun  1 09:06:41 2025"

Sample,"Volt avg 1","Curr avg 1","Volt avg 3","Curr avg 3"
14,20.1028,0.189896,20.4222,0.180761
15,12.1587,0.944288,12.1581,0.902747
16,12.4799,0.94407,12.4802,0.90244
17,12.8244,0.943981,12.824,0.90222
18,13.1602,0.943782,13.16,0.901974
19,13.4686,0.943509,13.4685,0.901681
20,13.7875,0.943132,13.7879,0.901363
21,14.0993,0.942747,14.0993,0.901091
22,14.3858,0.942246,14.3851,0.90067
23,14.6819,0.941677,14.6812,0.900391
24,14.9703,0.940923,14.9703,0.899405
25,15.2355,0.939971,15.2355,0.898038
26,15.5103,0.938902,15.5103,0.896291
27,15.7784,0.937507,15.7784,0.894228
28,16.025,0.936173,16.025,0.892284
29,16.28,0.93441,16.2804,0.890195
30,16.5291,0.93243,16.5298,0.888099
31,16.7573,0.930289,16.7579,0.886263
32,16.9942,0.927784,16.9938,0.884284
33,17.2255,0.924809,17.225,0.882728
34,17.4371,0.921627,17.4372,0.881319
35,17.6557,0.917834,17.656,0.879953
36,17.87,0.913518,17.8699,0.878861
37,18.0669,0.90888,18.0669,0.87802
38,18.2699,0.903191,18.2699,0.877159
39,18.4702,0.896398,18.47,0.876486
40,18.652,0.889386,18.6519,0.875159
41,18.8407,0.880926,18.8407,0.87231
42,19.0253,0.871063,19.025,0.868172
43,19.1944,0.860602,19.1942,0.863098
44,19.3696,0.84825,19.3696,0.856632
45,19.5409,0.834356,19.5405,0.848934
46,19.6968,0.819462,19.6968,0.840544
47,19.8601,0.80163,19.8602,0.830014
48,20.0182,0.781582,20.0183,0.817877
49,20.1645,0.760522,20.1645,0.804871
50,20.3152,0.735868,20.3152,0.789253
51,20.4625,0.708353,20.4623,0.77169
52,20.5974,0.68006,20.5976,0.753456
53,20.7369,0.647174,20.7369,0.731976
54,20.8744,0.610995,20.8743,0.707778
55,20.9999,0.573698,20.9998,0.682722
56,21.1294,0.531367,21.1294,0.653731
57,21.2554,0.485523,21.2556,0.622133
58,21.372,0.439115,21.3722,0.589573
59,21.4925,0.386428,21.4924,0.552604
60,21.6104,0.329732,21.6107,0.511753
61,21.7185,0.273889,21.7186,0.470839
62,21.8295,0.211699,21.8295,0.424816
63,21.9383,0.145652,21.9383,0.375482
64,22.0385,0.0803501,22.0388,0.325874
65,22.1345,0.0138754,22.1424,0.270564
66,22.1558,-0.00144617,22.2433,0.212085
67,22.1557,-0.00140217,22.3362,0.154125
68,22.1555,-0.00137938,22.4328,0.0892147
69,22.1552,-0.00138634,22.5233,0.0247698
70,22.1551,-0.00139422,22.5592,-0.00223791
71,22.1548,-0.00140845,22.5588,-0.00230116
72,22.1546,-0.00134949,22.5587,-0.00224495
73,22.1544,-0.00131507,22.5586,-0.00229021
74,20.1046,0.18941,20.4268,0.18011
75,12.1587,0.942591,12.158,0.900354
76,12.4798,0.942484,12.4801,0.900133
77,12.8243,0.942494,12.824,0.90009
78,13.1601,0.942328,13.1599,0.90002
79,13.4686,0.942183,13.4685,0.899799
80,13.7875,0.941893,13.7879,0.899603
81,14.0993,0.941666,14.0993,0.899482
82,14.3857,0.941408,14.3851,0.899427
83,14.6819,0.941023,14.6812,0.89927
84,14.9703,0.940459,14.9702,0.898412
85,15.2354,0.939721,15.2354,0.897149
86,15.5102,0.938674,15.5102,0.895427
87,15.7784,0.937479,15.7784,0.89343
88,16.0249,0.936152,16.0249,0.891637
89,16.28,0.93461,16.2803,0.889673
90,16.5291,0.932652,16.5298,0.887585
91,16.7572,0.930569,16.7579,0.885711
92,16.9942,0.928237,16.9938,0.883986
93,17.2254,0.925342,17.225,0.88231
94,17.4371,0.922292,17.4372,0.881027
95,17.6557,0.918581,17.656,0.879815
96,17.8699,0.91425,17.8699,0.878727
97,18.0668,0.909636,18.0669,0.877914
98,18.2699,0.903969,18.2699,0.877192
99,18.4701,0.8974,18.4699,0.876577
100,18.6519,0.890464,18.6518,0.875419
101,18.8407,0.882184,18.8407,0.872773
102,19.0252,0.872416,19.025,0.868703
103,19.1944,0.862052,19.1942,0.863748
104,19.3696,0.849834,19.3696,0.857317
105,19.5409,0.835967,19.5405,0.849737
106,19.6968,0.821286,19.6968,0.841405
107,19.8601,0.803605,19.8602,0.830896
108,20.0182,0.783601,20.0183,0.81879
109,20.1645,0.762506,20.1645,0.805889
110,20.3152,0.73791,20.3152,0.790316
111,20.4625,0.710421,20.4623,0.772831
112,20.5974,0.682189,20.5976,0.75484
113,20.7369,0.64944,20.7369,0.733458
114,20.8744,0.613223,20.8743,0.709181
115,20.9999,0.575882,20.9998,0.684184
116,21.1294,0.533536,21.1294,0.655339
117,21.2554,0.487759,21.2556,0.623857
118,21.372,0.441379,21.3722,0.591271
119,21.4925,0.388712,21.4924,0.554427
120,21.6104,0.331889,21.6106,0.513686
121,21.7185,0.27612,21.7186,0.472756
122,21.8295,0.213959,21.8295,0.426943
123,21.9382,0.147881,21.9383,0.377577
124,22.0385,0.0825014,22.0388,0.32811
