N6705C exported datalog

"Sample interval: 0.999997"
"Trigger sample: 14"
"Date: Sun Jun  1 09:06:43 2025"

Sample,"Volt avg 1","Curr avg 1"
14,19.8673,0.198535
15,12.1676,0.863225
16,12.4915,0.862843
17,12.8301,0.862536
18,13.1713,0.862363
19,13.4795,0.862209
20,13.7932,0.861985
21,14.1097,0.861693
22,14.3952,0.861467
23,14.6862,0.861216
24,14.9801,0.860974
25,15.2455,0.860644
26,15.5155,0.859882
27,15.7879,0.858954
28,16.0337,0.858071
29,16.2843,0.857168
30,16.5374,0.856421
31,16.7656,0.855656
32,16.9985,0.854827
33,17.233,0.853254
34,17.4441,0.851079
35,17.6597,0.848235
36,17.8773,0.84457
37,18.0733,0.84062
38,18.274,0.835897
39,18.4763,0.830231
40,18.6587,0.824321
41,18.8436,0.817404
42,19.0316,0.809214
43,19.2002,0.800813
44,19.3725,0.790776
45,19.5462,0.77907
46,19.7024,0.766779
47,19.8629,0.752564
48,20.0235,0.736062
49,20.1697,0.718831
50,20.3177,0.699287
51,20.4672,0.6762
52,20.6023,0.652624
53,20.7393,0.625541
54,20.8789,0.594371
55,21.0042,0.562867
56,21.1315,0.527535
57,21.2599,0.487464
58,21.3763,0.447237
59,21.4945,0.402179
60,21.6142,0.351492
61,21.7224,0.301115
62,21.8313,0.246134
63,21.9416,0.185601
64,22.0424,0.125082
65,22.1445,0.0592207
66,22.2275,0.00175488
67,22.2314,-0.00136875
68,22.2309,-0.00137363
69,22.2308,-0.00134945
70,22.2305,-0.00130648
71,22.2303,-0.00130256
72,22.2301,-0.00132335
73,22.2298,-0.00129942
74,19.8701,0.19747
75,12.1675,0.859395
76,12.4915,0.859212
77,12.8301,0.859112
78,13.1712,0.85899
79,13.4794,0.85883
80,13.7932,0.858553
81,14.1096,0.858223
82,14.3952,0.858066
83,14.6861,0.857922
84,14.9801,0.857766
85,15.2455,0.857604
86,15.5155,0.857159
87,15.7879,0.856289
88,16.0337,0.855504
89,16.2843,0.854683
90,16.5374,0.853815
91,16.7656,0.853146
92,16.9985,0.85249
93,17.2329,0.851176
94,17.444,0.849257
95,17.6597,0.846668
96,17.8772,0.843
97,18.0733,0.839117
98,18.274,0.834585
99,18.4762,0.82909
100,18.6586,0.823201
101,18.8436,0.816409
102,19.0315,0.808279
103,19.2002,0.799909
104,19.3724,0.790017
105,19.5462,0.778393
106,19.7024,0.766278
107,19.8629,0.752179
108,20.0235,0.73584
109,20.1697,0.718581
110,20.3177,0.699258
111,20.4672,0.676222
112,20.6023,0.652467
113,20.7393,0.625588
114,20.8789,0.594525
115,21.0042,0.563068
116,21.1315,0.527716
117,21.2598,0.487752
118,21.3763,0.4474
119,21.4944,0.4025
120,21.6142,0.351903
121,21.7224,0.301485
122,21.8313,0.246558
123,21.9416,0.18621
124,22.0424,0.125746
125,22.1445,0.0600896
126,22.2279,0.00219885
127,22.2326,-0.001275
128,22.2322,-0.00127898
129,22.2319,-0.00134145
130,22.2315,-0.00137603
131,22.2313,-0.001307
132,22.231,-0.00130838
133,22.2308,-0.00140783
134,19.8725,0.19724
135,12.1675,0.859315
136,12.4914,0.859206
137,12.83,0.859162
138,13.1712,0.858987
139,13.4793,0.858547
140,13.7932,0.858088
141,14.1096,0.857777
142,14.3951,0.857591
143,14.6861,0.857443
144,14.98,0.857308
145,15.2454,0.857301
146,15.5155,0.856958
147,15.7878,0.856301
148,16.0336,0.855532
149,16.2843,0.854675
150,16.5373,0.853932
151,16.7655,0.853305
152,16.9985,0.852609
153,17.2329,0.851477
154,17.444,0.849706
155,17.6597,0.847104
156,17.8772,0.843604
157,18.0732,0.839762
158,18.2739,0.835296
