Sweep #,Time,Chan 101 (C),Chan 102 (C),Chan 103 (C),Chan 104 (C),Chan 105 (C),Chan 106 (C),Chan 107 (C),Chan 108 (C),Chan 109 (C)
1,06/01/2025 09:02:59.360,+2.42945461E+01,+2.34542105E+01,+2.58774368E+01,+2.51975363E+01,+2.80727809E+01,+2.50374287E+01,+2.30907333E+01,+2.66029539E+01,+2.36804018E+01
2,06/01/2025 09:03:59.326,+2.36336190E+01,+2.33260505E+01,+2.58362258E+01,+2.52534987E+01,+2.82373246E+01,+2.52597620E+01,+2.31306773E+01,+2.65662751E+01,+2.36661769E+01
3,06/01/2025 09:04:59.326,+2.37682329E+01,+2.34267205E+01,+2.59594078E+01,+2.53292608E+01,+2.82870071E+01,+2.50149507E+01,+2.32201977E+01,+2.66744118E+01,+2.38363978E+01
4,06/01/2025 09:05:59.326,+2.38036250E+01,+2.36021299E+01,+2.62161362E+01,+2.54165462E+01,+2.84268986E+01,+2.54164878E+01,+2.33466649E+01,+2.67448032E+01,+2.39833336E+01
5,06/01/2025 09:06:59.326,+2.35680477E+01,+2.36912559E+01,+2.62385625E+01,+2.54299669E+01,+2.84565203E+01,+2.52505795E+01,+2.33140640E+01,+2.68583675E+01,+2.39261306E+01
6,06/01/2025 09:07:59.326,+2.39961859E+01,+2.36779643E+01,+2.59221650E+01,+2.54748128E+01,+2.83576906E+01,+2.52004402E+01,+2.32307033E+01,+2.67544875E+01,+2.38312194E+01
7,06/01/2025 09:08:59.326,+2.39603499E+01,+2.37164862E+01,+2.61825859E+01,+2.54355896E+01,+2.83029357E+01,+2.53374907E+01,+2.32494329E+01,+2.67892605E+01,+2.40214331E+01
8,06/01/2025 09:09:59.326,+2.37273820E+01,+2.36752363E+01,+2.61948119E+01,+2.54407117E+01,+2.83779749E+01,+2.52910579E+01,+2.32717329E+01,+2.68407300E+01,+2.39870504E+01
9,06/01/2025 09:10:59.326,+2.35266978E+01,+2.35869084E+01,+2.61262503E+01,+2.53479488E+01,+2.82642033E+01,+2.54177406E+01,+2.31570613E+01,+2.67358897E+01,+2.38642965E+01
10,06/01/2025 09:11:59.326,+2.35112055E+01,+2.35150312E+01,+2.60955297E+01,+2.53139320E+01,+2.81881289E+01,+2.54214568E+01,+2.31896784E+01,+2.67458675E+01,+2.39305450E+01
11,06/01/2025 09:12:59.326,+2.34485290E+01,+2.34957741E+01,+2.62118309E+01,+2.53464093E+01,+2.82649878E+01,+2.54611054E+01,+2.32453579E+01,+2.68507337E+01,+2.39144477E+01
12,06/01/2025 09:13:59.326,+2.35256195E+01,+2.35166138E+01,+2.63127282E+01,+2.54417559E+01,+2.81521815E+01,+2.55587843E+01,+2.32762907E+01,+2.69028846E+01,+2.40359770E+01
13,06/01/2025 09:14:59.326,+2.34909357E+01,+2.34582064E+01,+2.60297272E+01,+2.52457217E+01,+2.80139582E+01,+2.54946551E+01,+2.31434846E+01,+2.67858520E+01,+2.39765921E+01
14,06/01/2025 09:15:59.326,+2.29512068E+01,+2.33079778E+01,+2.61507285E+01,+2.52243961E+01,+2.79691801E+01,+2.53094313E+01,+2.31521979E+01,+2.67410829E+01,+2.40218730E+01
15,06/01/2025 09:16:59.326,+2.34814892E+01,+2.35366999E+01,+2.60680716E+01,+2.54248076E+01,+2.81171026E+01,+2.52813655E+01,+2.30527185E+01,+2.67399614E+01,+2.41720531E+01
16,06/01/2025 09:17:59.326,+2.36868093E+01,+2.36066037E+01,+2.61539088E+01,+2.54581687E+01,+2.80448525E+01,+2.55395362E+01,+2.29934672E+01,+2.68007067E+01,+2.42143879E+01
17,06/01/2025 09:18:59.326,+2.40249445E+01,+2.36597327E+01,+2.61361529E+01,+2.56425925E+01,+2.80697217E+01,+2.52275062E+01,+2.32174328E+01,+2.69140209E+01,+2.43138673E+01
18,06/01/2025 09:19:59.326,+2.41603014E+01,+2.37280538E+01,+2.59536667E+01,+2.58030906E+01,+2.80952143E+01,+2.52042384E+01,+2.33461378E+01,+2.70049890E+01,+2.42216681E+01
19,06/01/2025 09:20:59.326,+2.43412898E+01,+2.38434591E+01,+2.62654581E+01,+2.59923723E+01,+2.82029094E+01,+2.55975990E+01,+2.33043404E+01,+2.69824167E+01,+2.43678235E+01
20,06/01/2025 09:21:59.326,+2.45998010E+01,+2.40614469E+01,+2.63632278E+01,+2.62295925E+01,+2.84066705E+01,+2.57310992E+01,+2.35338801E+01,+2.74000251E+01,+2.47763491E+01
21,06/01/2025 09:22:59.326,+2.47937000E+01,+2.44360891E+01,+2.70423956E+01,+2.67243575E+01,+2.88366112E+01,+2.61295581E+01,+2.40199588E+01,+2.78234719E+01,+2.52867396E+01
22,06/01/2025 09:23:59.326,+2.44839563E+01,+2.45869571E+01,+2.74084317E+01,+2.69587940E+01,+2.90669073E+01,+2.64980232E+01,+2.44500315E+01,+2.82212123E+01,+2.56315808E+01
23,06/01/2025 09:24:59.326,+2.50797656E+01,+2.49667470E+01,+2.77190757E+01,+2.73414968E+01,+2.94087661E+01,+2.65063485E+01,+2.47426402E+01,+2.85397555E+01,+2.58727924E+01
24,06/01/2025 09:25:59.326,+2.55601688E+01,+2.52708943E+01,+2.82682593E+01,+2.76780953E+01,+2.97639383E+01,+2.70445652E+01,+2.50071612E+01,+2.88282524E+01,+2.64049797E+01
25,06/01/2025 09:26:59.326,+2.58530865E+01,+2.55658109E+01,+2.81715210E+01,+2.79815847E+01,+2.99741601E+01,+2.72496522E+01,+2.52258496E+01,+2.89135299E+01,+2.65696925E+01
26,06/01/2025 09:27:59.326,+2.62184212E+01,+2.58873311E+01,+2.86601695E+01,+2.82839815E+01,+3.01203039E+01,+2.77570746E+01,+2.54639401E+01,+2.91804332E+01,+2.68631628E+01
27,06/01/2025 09:28:59.326,+2.66469658E+01,+2.61797992E+01,+2.89314215E+01,+2.85266014E+01,+3.05038588E+01,+2.79772214E+01,+2.57138916E+01,+2.94813577E+01,+2.70754399E+01
28,06/01/2025 09:29:59.326,+2.69013900E+01,+2.65818984E+01,+2.92632148E+01,+2.89178086E+01,+3.08125471E+01,+2.80120712E+01,+2.61735982E+01,+2.96954861E+01,+2.73601741E+01
29,06/01/2025 09:30:59.326,+2.69367454E+01,+2.68622270E+01,+2.93742961E+01,+2.90433526E+01,+3.09144883E+01,+2.79538756E+01,+2.62337643E+01,+2.97008988E+01,+2.73343606E+01
30,06/01/2025 09:31:59.326,+2.74047268E+01,+2.73136237E+01,+2.98515713E+01,+2.96066730E+01,+3.14701270E+01,+2.85109866E+01,+2.68081693E+01,+3.00958571E+01,+2.78691509E+01
31,06/01/2025 09:32:59.326,+2.71892546E+01,+2.75712262E+01,+2.98262114E+01,+2.96694885E+01,+3.15778867E+01,+2.89013203E+01,+2.66023989E+01,+3.03403500E+01,+2.80426673E+01
32,06/01/2025 09:33:59.326,+2.71985573E+01,+2.76147160E+01,+2.98389233E+01,+2.97421298E+01,+3.16772015E+01,+2.87263234E+01,+2.69841068E+01,+3.05294061E+01,+2.77913953E+01
